Изборна единица,Општина,Избирачко место,Подносител на листа,Освоени гласови
1,АЕРОДРОМ,2692,МОРО,1
1,АЕРОДРОМ,2692,ВМРО - ДПМНЕ и други,180
1,АЕРОДРОМ,2692,ТВОЈА,6
1,АЕРОДРОМ,2693,ДПА,1
1,АЕРОДРОМ,2693,ДЕМОКРАТИ,1
1,АЕРОДРОМ,2693,КОАЛИЦИЈА МОЖЕМЕ,171
1,АЕРОДРОМ,2693,ЛЕВИЦА,30
1,АЕРОДРОМ,2693,АА / A,0
1,АЕРОДРОМ,2693,ГЛАС ЗА МАКЕДОНИЈА,1
1,АЕРОДРОМ,2693,ГДУ,3
1,АЕРОДРОМ,2693,ИНТЕГРА,7
1,АЕРОДРОМ,2693,ДУИ,0
1,АЕРОДРОМ,2693,СДУ,0
1,АЕРОДРОМ,2693,ЕДИНСТВЕНА МАКЕДОНИЈА,0
1,АЕРОДРОМ,2693,МОРО,0
1,АЕРОДРОМ,2693,ВМРО - ДПМНЕ и други,131
1,АЕРОДРОМ,2693,ТВОЈА,4
1,АЕРОДРОМ,2694,ДПА,0
1,АЕРОДРОМ,2694,ДЕМОКРАТИ,0
1,АЕРОДРОМ,2694,КОАЛИЦИЈА МОЖЕМЕ,193
1,АЕРОДРОМ,2694,ЛЕВИЦА,59
1,АЕРОДРОМ,2694,АА / A,1
1,АЕРОДРОМ,2694,ГЛАС ЗА МАКЕДОНИЈА,5
1,АЕРОДРОМ,2694,ГДУ,1
1,АЕРОДРОМ,2694,ИНТЕГРА,6
1,АЕРОДРОМ,2694,ДУИ,0
1,АЕРОДРОМ,2694,СДУ,3
1,АЕРОДРОМ,2694,ЕДИНСТВЕНА МАКЕДОНИЈА,0
1,АЕРОДРОМ,2694,МОРО,3
1,АЕРОДРОМ,2694,ВМРО - ДПМНЕ и други,182
1,АЕРОДРОМ,2694,ТВОЈА,6
1,АЕРОДРОМ,2695,ДПА,0
1,АЕРОДРОМ,2695,ДЕМОКРАТИ,0
1,АЕРОДРОМ,2695,КОАЛИЦИЈА МОЖЕМЕ,145
1,АЕРОДРОМ,2695,ЛЕВИЦА,32
1,АЕРОДРОМ,2695,АА / A,0
1,АЕРОДРОМ,2695,ГЛАС ЗА МАКЕДОНИЈА,2
1,АЕРОДРОМ,2695,ГДУ,1
1,АЕРОДРОМ,2695,ИНТЕГРА,12
1,АЕРОДРОМ,2695,ДУИ,4
1,АЕРОДРОМ,2695,СДУ,2
1,АЕРОДРОМ,2695,ЕДИНСТВЕНА МАКЕДОНИЈА,6
1,АЕРОДРОМ,2695,МОРО,0
1,АЕРОДРОМ,2695,ВМРО - ДПМНЕ и други,143
1,АЕРОДРОМ,2695,ТВОЈА,4
1,АЕРОДРОМ,2696,ДПА,0
1,АЕРОДРОМ,2696,ДЕМОКРАТИ,0
1,АЕРОДРОМ,2696,КОАЛИЦИЈА МОЖЕМЕ,149
1,АЕРОДРОМ,2696,ЛЕВИЦА,47
1,АЕРОДРОМ,2696,АА / A,0
1,АЕРОДРОМ,2696,ГЛАС ЗА МАКЕДОНИЈА,0
1,АЕРОДРОМ,2696,ГДУ,1
1,АЕРОДРОМ,2696,ИНТЕГРА,6
1,АЕРОДРОМ,2696,ДУИ,0
1,АЕРОДРОМ,2696,СДУ,9
1,АЕРОДРОМ,2696,ЕДИНСТВЕНА МАКЕДОНИЈА,0
1,АЕРОДРОМ,2696,МОРО,1
1,АЕРОДРОМ,2696,ВМРО - ДПМНЕ и други,141
1,АЕРОДРОМ,2696,ТВОЈА,6
1,АЕРОДРОМ,2697,ДПА,0
1,АЕРОДРОМ,2697,ДЕМОКРАТИ,0
1,АЕРОДРОМ,2697,КОАЛИЦИЈА МОЖЕМЕ,181
1,АЕРОДРОМ,2697,ЛЕВИЦА,30
1,АЕРОДРОМ,2697,АА / A,0
1,АЕРОДРОМ,2697,ГЛАС ЗА МАКЕДОНИЈА,1
1,АЕРОДРОМ,2697,ГДУ,2
1,АЕРОДРОМ,2697,ИНТЕГРА,4
1,АЕРОДРОМ,2697,ДУИ,5
1,АЕРОДРОМ,2697,СДУ,5
1,АЕРОДРОМ,2697,ЕДИНСТВЕНА МАКЕДОНИЈА,0
1,АЕРОДРОМ,2697,МОРО,1
1,АЕРОДРОМ,2697,ВМРО - ДПМНЕ и други,131
1,АЕРОДРОМ,2697,ТВОЈА,7
1,АЕРОДРОМ,2698,ДПА,0
1,АЕРОДРОМ,2698,ДЕМОКРАТИ,0
1,АЕРОДРОМ,2698,КОАЛИЦИЈА МОЖЕМЕ,177
1,АЕРОДРОМ,2698,ЛЕВИЦА,31
1,АЕРОДРОМ,2698,АА / A,0
1,АЕРОДРОМ,2698,ГЛАС ЗА МАКЕДОНИЈА,0
1,АЕРОДРОМ,2698,ГДУ,2
1,АЕРОДРОМ,2698,ИНТЕГРА,13
1,АЕРОДРОМ,2698,ДУИ,0
1,АЕРОДРОМ,2698,СДУ,0
1,АЕРОДРОМ,2698,ЕДИНСТВЕНА МАКЕДОНИЈА,0
1,АЕРОДРОМ,2698,МОРО,1
1,АЕРОДРОМ,2698,ВМРО - ДПМНЕ и други,132
1,АЕРОДРОМ,2698,ТВОЈА,1
1,АЕРОДРОМ,2699,ДПА,0
1,АЕРОДРОМ,2699,ДЕМОКРАТИ,0
1,АЕРОДРОМ,2699,КОАЛИЦИЈА МОЖЕМЕ,144
1,АЕРОДРОМ,2699,ЛЕВИЦА,55
1,АЕРОДРОМ,2699,АА / A,0
1,АЕРОДРОМ,2699,ГЛАС ЗА МАКЕДОНИЈА,0
1,АЕРОДРОМ,2699,ГДУ,0
1,АЕРОДРОМ,2699,ИНТЕГРА,8
1,АЕРОДРОМ,2699,ДУИ,0
1,АЕРОДРОМ,2699,СДУ,1
1,АЕРОДРОМ,2699,ЕДИНСТВЕНА МАКЕДОНИЈА,0
1,АЕРОДРОМ,2699,МОРО,2
1,АЕРОДРОМ,2699,ВМРО - ДПМНЕ и други,112
1,АЕРОДРОМ,2699,ТВОЈА,8
1,АЕРОДРОМ,2700,ДПА,0
1,АЕРОДРОМ,2700,ДЕМОКРАТИ,0
1,АЕРОДРОМ,2700,КОАЛИЦИЈА МОЖЕМЕ,224
1,АЕРОДРОМ,2700,ЛЕВИЦА,49
1,АЕРОДРОМ,2700,АА / A,0
1,АЕРОДРОМ,2700,ГЛАС ЗА МАКЕДОНИЈА,1
1,АЕРОДРОМ,2700,ГДУ,5
1,АЕРОДРОМ,2700,ИНТЕГРА,10
1,АЕРОДРОМ,2700,ДУИ,1
1,АЕРОДРОМ,2700,СДУ,5
1,АЕРОДРОМ,2700,ЕДИНСТВЕНА МАКЕДОНИЈА,0
1,АЕРОДРОМ,2700,МОРО,3
1,АЕРОДРОМ,2700,ВМРО - ДПМНЕ и други,171
